Date,住房,餐饮,衣服,妆品,车费,日用,电子,工资,红包,投资,代购
2018.01,0,0,1151.4,0,27,0,695.5,109,110,111,112
2019.01,2245,1340.78,519.7,0,348.25,1025.71,65,1000,7910,8345.7,48.12
2019.02,1420,1775.61,402,100,178,357.09,238.7,100,7910,1156.5,21.79
2018.02,0,596,2156,0,1266,0,0,109,110,111,112
2018.03,0,691.8,0,0,381.9,422,80,0,0,0,0
2018.04,1500,1378.32,1025.37,318,316.9,165.9,212.2,0,4750,0,361
2018.05,1700,1086.5,220.9,481,416.5,153.18,129.15,4772.73,0,0,145.24
2018.06,1760,1486.03,498,137.24,157.09,331.68,194.13,5000,0,5.02,192.52
2018.07,1774,1501.96,187,320.18,154.37,166.5,153.9,8094.31,0,11.97,25.17
2018.08,1668.5,2354.9,617.48,243.8,198.31,171.15,38.8,7785,162.28,77.5,276.58
2018.09,1752,1202.94,349,576,215.4,180.31,49.7,7785,1152.24,35.93,120.78
2018.10,1732.5,1063.01,115.7,716,186.55,103.2,14.2,7910,0,22.78,431.64
2018.11,1853,1410.96,1248.8,14.47,107.4,316.5,67.81,8127.24,30,10,260
2018.12,1700,1390.82,975.55,67.92,354.1,215.2,41,8127.24,594.41,29.15,101.23
2019.03,1312,1223.08,208,60,135.5,52.6,91.6,100,8578.97,679.5,20
2019.04,1340,1380.51,732.3,201,477.9,55.6,139,8823.97,120,31.12,0
2019.05,1331,1553.48,280,83,300,356.36,34.8,8686.84,153.07,0,0
2019.06,1341,1251.05,633.63,623.84,198,309.73,1103.04,8241.14,254,25,324.59
2019.07,1347,1343.27,439.93,523.9,237,248.73,64.8,8584,2014.2,104.74,76
2019.08,1317,1337.74,93.86,549,427,226.45,44.03,8309.71,719.85,71,0
2019.09,1333,1352,1506.88,0,111.7,143.08,218,8104,0,27,372
2019.10,1329,1294.99,40,718,190.74,151,184.96,8652.55,625,106.71,281
2019.11,1301,0,0,0,0,0,0,0,0,0,0
2019.12,0,0,0,0,0,0,0,0,0,0,0
